Year,Up.To.Round,Team,CF.Playoff,CA.Playoff,FenFor.Playoff,FenAga.Playoff,SCF.Playoff,SCA.Playoff,HDCF.Playoff,HDCA.Playoff,SavePercentage.Playoff,PDO.Playoff,xGF.Playoff,xGA.Playoff
2011,finals,Washington Capitals,62.31,51.16,43.42,34.89,27.68,25.71,48.28,11.76,1.44,1.71,2.52,1.96
2011,finals,Buffalo Sabres,54.38,64.55,40.1,47.73,21.13,28.95,35,10.29,1.17,1.96,2.1,2.82
2011,finals,Philadelphia Flyers,62.72,57.27,45.77,41.89,27.85,24.21,42.11,11.35,1.33,1.94,2.5,2.31
2011,finals,Montreal Canadiens,54.8,66.52,39.45,46.55,19.97,28.39,35,8.75,0.99,0.99,1.86,2.36
2011,finals,Boston Bruins,62.25,57.32,44.33,41.93,27.09,24.01,65.15,17.7,1.78,1.09,2.25,1.99
2011,finals,Tampa Bay Lightning,53.02,65.09,40.02,45.51,25.07,26.08,55.38,16.51,2.17,1.52,2.09,2.11
2011,finals,Pittsburgh Penguins,71.56,48.13,49.42,36.6,27.64,21.6,45.45,10.75,1.28,2.01,2.22,1.93
2011,finals,Chicago Blackhawks,49.06,59.21,38.58,42.74,20.29,25.45,52.17,15.79,1.33,1.16,2.02,2.01
2011,finals,Vancouver Canucks,57.87,51.47,40.54,37.53,26.22,20.97,54.17,11.87,1.02,0.9,2,1.92
2011,finals,Los Angeles Kings,52.18,66.83,37.33,48.68,20.63,31.97,45.83,17.19,1.86,1.86,1.89,2.75
2011,finals,San Jose Sharks,61.76,60.38,44.81,42.39,27.32,26.49,45.76,11.02,1.24,1.38,2.42,2.21
2011,finals,Phoenix Coyotes,57.97,63.27,43.72,51.34,27.49,32.46,16.67,4.17,0.33,1.99,2.1,2.58
2011,finals,Detroit Red Wings,66.87,57.17,49.95,42.14,31.6,26.39,68.75,13.92,1.42,0.71,2.55,2.22
2011,finals,Nashville Predators,52.09,53.29,36.57,38.07,22.34,24.54,55.88,14.29,1.4,1.2,2.04,1.99
2011,finals,Anaheim Ducks,50.47,59.73,37.03,43.64,22.48,25.79,37.5,14.52,1.76,2.64,2.16,2.59
2012,quarter-finals,Ottawa Senators,70.46,51.08,48.15,39.73,33.86,28.77,43.75,8.33,0.78,1.17,2.63,2.31
2012,quarter-finals,New York Rangers,51.08,70.46,39.73,48.15,28.77,33.86,56.25,9.78,1.17,0.78,2.31,2.63
2012,quarter-finals,Washington Capitals,46.6,62.3,34.87,45.28,15.53,23.96,55,18.64,0.99,1.16,1.39,1.97
2012,quarter-finals,Boston Bruins,62.3,46.6,45.28,34.87,23.96,15.53,45,10.84,1.16,0.99,1.97,1.39
2012,quarter-finals,New Jersey Devils,49.94,41.08,37.33,32.73,20.62,17.39,75,14.29,1.19,0.68,2.08,1.64
2012,quarter-finals,Florida Panthers,41.08,49.94,32.73,37.33,17.39,20.62,25,5.56,0.68,1.19,1.64,2.08
2012,quarter-finals,Philadelphia Flyers,46.44,60.12,32.53,40.61,21.76,27.37,39.13,16.36,1.57,2.02,1.76,2.42
2012,quarter-finals,Pittsburgh Penguins,60.12,46.44,40.61,32.53,27.37,21.76,60.87,21.54,2.02,1.57,2.42,1.76
2012,quarter-finals,Los Angeles Kings,58.58,69.63,44.49,48.91,29.01,29.56,71.43,7.69,1.11,0.55,2.66,2.09
2012,quarter-finals,Vancouver Canucks,69.63,58.58,48.91,44.49,29.56,29.01,28.57,3.57,0.55,1.11,2.09,2.66
2012,quarter-finals,San Jose Sharks,55.54,50.28,36.39,37.11,27.77,21.31,33.33,4.76,0.24,0.96,1.99,1.83
2012,quarter-finals,St Louis Blues,50.28,55.54,37.11,36.39,21.31,27.77,66.67,11.32,0.96,0.24,1.83,1.99
2012,quarter-finals,Chicago Blackhawks,68.63,42.66,48.16,32.61,29.77,18.96,10,1,0,1.14,2.53,1.53
