"player","position","season","Team","GP","TOI","G_60","A1_60","A2_60","Points_60","iSF_60","iFF_60","iCF_60","ixG_60","Sh_perc","F_Sh_perc","xFSH_perc","iBLK_60","iHF_60","iHA_60","GIVE_60","TAKE_60","iPENT2_60","iPEND2_60","iPENT5_60","iPEND5_60","FOW","FOL","FO_diff"
"GRANT.CLITSOME","D","20112012","CBJ",51,714.58,0.25,0.17,0.17,0.59,4.11,6.13,8.56,0.17,6.12,4.11,2.77,3.11,4.62,5.54,1.34,0.84,0.67,0.25,0,0,0,1,-1
"GRANT.CLITSOME","D","20112012","WPG",12,175.57,0,0.68,0.34,1.03,3.76,6.83,9.23,0.15,0,0,2.2,5.13,8.2,5.47,3.76,0,1.37,0,0,0,0,0,0
"GREG.NEMISZ","F","20112012","CGY",9,68.9,0,0,0,0,1.74,6.1,6.1,0.4,0,0,6.57,0.87,2.61,5.22,1.74,0,0,1.74,0,0,19,29,-10
"GREGORY.CAMPBELL","F","20112012","BOS",78,846.82,0.57,0.07,0.5,1.13,4.75,6.59,8.57,0.5,11.94,8.6,7.62,2.76,7.23,6.8,0.99,1.42,0.57,0.57,0.71,0.71,294,273,21
"GREG.ZANON","D","20112012","BOS",17,253.77,0.24,0,0.24,0.47,3.31,6.62,9.22,0.14,7.14,3.57,2.18,6.15,8.51,4.73,0.47,0.24,0.24,0,0,0,0,0,0
"GREG.ZANON","D","20112012","MIN",39,634.98,0.19,0,0.38,0.57,2.55,3.4,5.39,0.08,7.41,5.56,2.47,8.03,6.61,4.63,0.85,0.66,0.76,0.19,0,0,0,0,0
"GUILLAUME.DESBIENS","F","20112012","CGY",10,71.08,0,0,0,0,1.69,4.22,6.75,0.3,0,0,7,1.69,13.51,7.6,1.69,0,0,0.84,4.22,4.22,1,1,0
"GUILLAUME.LATENDRESSE","F","20112012","MIN",16,196.23,0.92,0.92,0.31,2.14,7.95,11.31,13.76,0.89,11.54,8.11,7.89,0.92,10.4,3.97,0.92,3.67,2.75,1.53,0,0,1,2,-1
"GUSTAV.NYQUIST","F","20112012","DET",18,185.88,0.32,1.29,0.65,2.26,5.81,8.72,10.65,0.63,5.56,3.7,7.26,0,1.29,7.1,1.61,2.91,0.32,0.65,0,0,0,0,0
"HAL.GILL","D","20112012","MTL",53,669.27,0,0.18,0.36,0.54,2.42,3.59,6.37,0.07,0,0,1.9,6.45,3.77,4.39,3.41,0.45,0.99,0.63,0.09,0.09,0,0,0
"HAL.GILL","D","20112012","NSH",23,360.67,0,0.17,0.5,0.67,2.5,2.99,4.49,0.05,0,0,1.72,5.16,3.83,2.33,1.33,1,0.67,0,0,0,0,0,0
"HARRY.ZOLNIERCZYK","F","20112012","PHI",37,270.53,0.67,0.44,0.22,1.33,10.42,14.42,17.3,0.88,6.38,4.62,6.08,2.88,14.64,7.98,0.67,0.89,2,2.88,0.67,0.67,11,15,-4
